timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,99.92,49.46534653465346,149.18289139140094,97.6,48.31683168316834,144.7438152334644,98.1,48.564356435643546,146.47206803543992,94.26,46.66336633663367,139.9204403958064,98.18,48.60396039603959,146.16965634332288,97.88,48.45544554455445,145.8515320112991
2,230.68,64.73267326732676,194.559174935356,230.32,65.70297029702971,197.229836912095,229.26,64.93069306930694,195.87395098500488,219.08,61.792079207920786,185.5458314354511,229.52,65.01980198019804,195.39949179396518,225.9,63.376237623762364,190.6112342251606
3,376.86,72.36633663366335,217.41005653986306,376.56,72.39603960396042,217.0802747187881,374.9,72.0990099009901,217.3830135046472,358.04,68.79207920792079,206.63590004989757,373.66,71.35643564356434,214.41138776779698,370.24,71.45544554455448,215.00891456486738
4,528.0,74.82178217821783,224.606805907011,528.98,75.45544554455446,226.095918031912,525.68,74.64356435643565,225.03896709682525,503.62,72.06930693069309,216.47979271071716,523.32,74.08910891089108,222.53674571165482,519.08,73.6831683168317,221.31093232417882
5,684.2,77.32673267326733,232.20601674582463,683.58,76.53465346534652,229.7644299964976,679.86,76.32673267326732,229.64328691367217,650.98,72.95049504950494,219.57010451741874,675.72,75.44554455445545,226.63684392294348,672.04,75.72277227722775,227.4447495330996
6,839.48,76.87128712871288,231.33693895135525,839.54,77.2079207920792,231.8124336716715,835.2,76.9009900990099,231.63929803572367,799.28,73.4158415841584,220.55061638541625,828.42,75.59405940594058,227.2746186922326,825.4,75.92079207920793,227.90941584216375
7,996.66,77.81188118811879,234.1221307515222,996.44,77.67326732673266,233.4596483296427,990.12,76.69306930693068,230.74323993314567,948.5,73.87128712871286,221.543403156239,981.7,75.88118811881188,228.27077716170746,980.42,76.74257425742576,230.5575290317709
8,1154.66,78.21782178217822,234.96806556039203,1154.96,78.47524752475246,235.910647962072,1145.62,76.98019801980196,231.30973084979618,1098.5,74.25742574257426,222.66712490104547,1135.84,76.3069306930693,229.45715529994493,1136.2,77.11881188118811,231.72794198339895
9,1314.52,79.13861386138613,237.86991357262676,1312.92,78.1980198019802,234.92143081990378,1302.1,77.46534653465346,232.90798473707247,1249.28,74.64356435643566,224.248291790956,1289.22,75.93069306930694,228.22065517160434,1293.5,77.87128712871285,234.08694277509647
10,1474.82,79.35643564356435,238.94988203737807,1470.9,78.20792079207921,235.0468875843022,1459.74,78.03960396039604,234.93805516075813,1400.78,75.00000000000001,224.95571854694117,1443.36,76.3069306930693,229.08886736669615,1451.02,77.98019801980199,234.16254218615933
11,1634.24,78.92079207920793,236.73032734136785,1628.18,77.86138613861385,234.17052445700037,1616.32,77.51485148514853,233.2069616139167,1552.76,75.23762376237623,225.81287790215475,1598.04,76.57425742574259,230.0448558432161,1606.96,77.1980198019802,231.94168685785132
12,1790.68,77.44554455445547,232.37441425120633,1786.24,78.24752475247524,235.2986463000692,1771.52,76.83168316831684,231.14424626426114,1704.08,74.9108910891089,225.26902089188323,1752.56,76.49504950495049,229.6184753313641,1763.3,77.39603960396039,232.5068835291278
13,1948.74,78.24752475247524,234.80232832176088,1944.24,78.21782178217822,235.16088170963823,1928.6,77.76237623762377,234.5517303570017,1852.66,73.55445544554455,220.88034466089445,1906.86,76.38613861386139,229.3532108221291,1920.94,78.03960396039605,234.06055792085775
14,2107.52,78.60396039603962,235.74332841182166,2103.34,78.76237623762377,236.59010441948274,2085.24,77.54455445544554,233.94781475385645,2004.04,74.94059405940597,225.04050787742196,2061.2,76.40594059405943,229.44343045117472,2078.4,77.95049504950494,234.36624578635218
15,2265.7,78.3069306930693,235.1359874535196,2262.34,78.7128712871287,236.60817205095333,2241.66,77.43564356435641,233.44293870112648,2154.16,74.3168316831683,222.90289300064484,2215.52,76.3960396039604,229.28260699865876,2236.38,78.20792079207921,235.38987921811042
16,2422.78,77.76237623762376,233.32462942715551,2419.78,77.94059405940592,233.8873552855783,2397.32,77.05940594059405,231.9934256684941,2304.44,74.3960396039604,222.68744359257408,2369.28,76.11881188118811,228.5692749335013,2394.58,78.31683168316832,235.59577082889126
17,2579.76,77.7128712871287,233.3771747297708,2577.34,78.00000000000001,234.02373682286577,2551.98,76.56435643564355,231.14431836321646,2454.7,74.38613861386139,223.39394060922453,2522.26,75.73267326732673,227.45354060961182,2552.18,78.01980198019801,234.56035038872986
18,2737.0,77.84158415841583,234.07622699989574,2734.14,77.62376237623761,232.9855188927605,2706.32,76.40594059405942,230.1554350165583,2605.96,74.88118811881189,225.0078796643397,2675.6,75.91089108910892,227.97076533808024,2708.0,77.13861386138616,231.91361163572873
19,2894.96,78.1980198019802,234.85456091861965,2891.34,77.82178217821782,233.50312152427642,2863.52,77.82178217821782,234.18440613494772,2757.42,74.98019801980196,225.0715820717993,2829.48,76.17821782178223,228.71824294287947,2864.72,77.58415841584159,233.2532785812478
20,3053.32,78.3960396039604,235.48642004710737,3049.72,78.4059405940594,235.6090175456245,3019.7,77.31683168316832,232.51408527861884,2908.22,74.65346534653463,224.08711966229995,2983.2,76.0990099009901,228.768186525491,3021.76,77.74257425742576,233.75409586458147
21,3212.44,78.77227722772277,236.57067630013083,3207.56,78.13861386138613,234.59865576258892,3176.2,77.47524752475245,233.18441251317924,3059.28,74.78217821782177,224.38291235476896,3137.66,76.46534653465348,230.2445633710575,3179.22,77.95049504950494,234.57472987670604
22,3370.68,78.33663366336631,235.45273453689396,3365.7,78.28712871287127,235.38387766778575,3332.14,77.19801980198017,232.42482515793318,3209.44,74.33663366336633,223.0734226902452,3292.18,76.49504950495049,229.7390704396195,3337.0,78.10891089108911,234.75380107864893
23,3528.8,78.27722772277228,234.9768594950357,3523.0,77.87128712871288,234.0151469778679,3487.44,76.88118811881186,231.41063631920883,3361.12,75.0891089108911,225.64267148297643,3446.3,76.29702970297029,229.0804815553289,3494.16,77.80198019801982,233.93054039054584
24,3687.9,78.76237623762376,236.7123802397548,3680.54,77.99009900990099,233.8213583708719,3642.74,76.88118811881189,231.5866299512694,3513.88,75.62376237623765,226.92464395872142,3600.28,76.2277227722772,228.81060975499685,3650.94,77.61386138613861,233.50370709827305
25,3846.98,78.75247524752476,236.40020524869217,3839.14,78.51485148514854,235.79159520575558,3797.24,76.4851485148515,230.35331177482811,3666.1,75.35643564356434,226.15026616144212,3753.52,75.86138613861385,227.6331834455345,3808.6,78.04950495049506,234.7065331566797
26,4004.4,77.93069306930694,234.3589041542261,3996.84,78.06930693069306,234.4363883900422,3953.24,77.22772277227723,232.59748526966058,3818.24,75.31683168316829,226.23131791014762,3907.66,76.30693069306932,229.03883394680307,3965.98,77.91089108910893,234.295471041106
27,4162.66,78.34653465346538,235.74644267901596,4154.94,78.26732673267328,235.05848078288312,4109.8,77.50495049504948,233.54427798205796,3969.42,74.84158415841584,224.6067193942568,4062.42,76.61386138613862,230.26931594185592,4122.62,77.54455445544555,233.2595661457564
28,4321.9,78.83168316831683,237.40860334841219,4312.12,77.81188118811879,233.76589854960545,4266.06,77.35643564356437,232.99573785585827,4120.16,74.62376237623764,224.4202211908091,4218.0,77.01980198019804,231.44881023089502,4281.46,78.63366336633666,236.47032895540957
29,4478.2,77.37623762376236,232.9227599052521,4469.16,77.74257425742573,233.73114455611895,4421.34,76.87128712871288,231.80825309798232,4271.22,74.78217821782178,224.5097737697062,4375.32,77.88118811881185,233.93600833640633,4438.9,77.94059405940594,234.0892502170206
30,4634.94,77.5940594059406,233.47592995871557,4626.78,78.02970297029705,234.48739283709008,4576.44,76.78217821782178,231.64372991915437,4421.38,74.33663366336631,223.41146868871402,4529.58,76.36633663366335,229.35866042526774,4596.2,77.87128712871288,233.44186233084264
